text,domain,regulation_id,doc_type,document,chapter,section,article,breadcrumb,title,has_reference,id
"Crash Protection Frontal Impact Protocol Implementation January 2026 Copyright © Euro NCAP 2025 - This work is the intellectual property of Euro NCAP. Permission is granted for this material to be shared for non-commercial, educational purposes, provided that this copyright statement appears on the reproduced materials and notice is given that the copying is by permission of Euro NCAP. To disseminate otherwise or to republish requires written permission from Euro NCAP. PREFACE During the test preparation, vehicle manufacturers are encouraged to liaise with the laboratory and to check that they are satisfied with the way cars are set up for testing. Where a manufacturer feels that a particular item should be altered, they should ask the laboratory staff to make any necessary changes. Manufacturers are forbidden from making changes to any parameter that will influence the test, such as dummy positioning, vehicle setting, laboratory environment etc. It is the responsibility of the test laboratory to ensure that any requested changes satisfy the requirements of Euro NCAP. Where a disagreement exists between the laboratory and manufacturer, the Euro NCAP secretariat should be informed immediately to pass final judgment. Where the laboratory staff suspect that a manufacturer has interfered with any of the set up, the manufacturer's representative should be warned that they are not allowed to do so themselves. They should also be informed that if another incident occurs, they will be asked to leave the test site. Whe e the e is ecu ence of the p oblem, the m nuf ctu e ’s ep esent tive will be told to le ve the test site and the Secretary General should be immediately informed. Any such incident may be reported by the Secretary General to the manufacturer and the person concerned may not be allowed to attend further Euro NCAP tests. DISCLAIMER: Euro NCAP has taken all reasonable care to ensure that the information published in this protocol is accurate and reflects the technical decisions taken by the organisation. In the unlikely event that this protocol contains a typographical error or any other inaccuracy, Euro NCAP reserves the right to make corrections and determine the assessment and subsequent result of the affected requirement(s). CONTENTS SCORING 1 1 MEASURING EQUIPMENT 2 Reference system 2 Dummies 2 Collision partners 2 Measurements and variables 3 2 TEST CONDITIONS 5 VUT preparation 5 Occupant compartment adjustments 5 Adult dummy positioning 8 CRS installation and child dummy placement 15 Determining limited rear space for child occupants 18 3 TEST PROCEDURES 19 MPDB 19 FWDB 20 Sled and Virtual testing 21 Colour band scheme 23 Injury criteria and limits 25 4 POSTTEST ASSESSMENT & INSPECTION 27 After test 27 Post test static measurements 27 Inspection 28 Euro NCAP Version 1.1 — September 2025 1 SCORING Crash Protection – Frontal Impact Total points 40 Offset test 20 Driver – THOR 50 th 5 Front passenger – HIII 5 th 5 Rear passenger – Q6 5 Rear passenger – Q10 5 Full width test 10 Driver – HIII 5 th 5 Front passenger – THOR 50 th 2.5 Rear passenger – HIII 5 th 2.5 Sled & virtual testing 10 Driver 5 50km/h – HIII 50 th 56km/h – HIII 95 th 35km/h – HIII 50 th 35km/h – HIII 5 th 56km/h – HIII 5 th Front passenger 5 50km/h – HIII 95 th 56km/h – HIII 5 th 35km/h – HIII 5 th 35km/h – HIII 50 th 56km/h – HIII 95 th Definitions used in this protocol can be found in Euro NCAP Technical Bulletin CP 001. Euro NCAP Version 1.1 — September 2025 2 1 MEASURING EQUIPMENT Reference system The sign convention used for configuring the transducers is stated in SAE J211 (2022). Dummies All Anthropometric Test Devices (ATD) shall conform to the specifications detailed in the respective Technical Bulletins below: Test ATD MPDB & FWDB THOR 50 th percentile - CP 106 Hybrid III 5 th percentile - CP 103 Q6 and Q10 child - CP 009 Virtual testing Hybrid III 5 th percentile - CP 103 Hybrid III 50 th percentile - CP 104 Hybrid III 95 th percentile - CP 105 Collision partners",injury,Euro NCAP,Euro_NCAP,euro_ncap_protocol_crash_protection_frontal_impact_v11_9659fff24e.pdf,,,,,,False,ddd9cb5e-5d64-4225-83bf-210469d8bfbb
"Table
| | | | | | |
|---|---|---|---|---|---|
| | Crash Protection – Frontal Impact | | | Total points 40 | |
| | | | | | |
| | Offset test | | 20
5
5
5
5 | | |
| | Driver – THOR 50th | | | | |
| | Front passenger – HIII 5th | | | | |
| | Rear passenger – Q6 | | | | |
| | Rear passenger – Q10 | | | | |
| | Full width test | | 10
5
2.5
2.5 | | |
| | Driver – HIII 5th | | | | |
| | Front passenger – THOR 50th | | | | |
| Rear passenger – HIII 5th | | | | | |
| Sled & virtual testing | | | 10
5
5 | | |
| | Driver | | | | |
| | 50km/h – HIII 50th | | | | |
| | 56km/h – HIII 95th | | | | |
| | 35km/h – HIII 50th | | | | |
| | 35km/h – HIII 5th | | | | |
| | 56km/h – HIII 5th | | | | |
| | Front passenger | | | | |
| | 50km/h – HIII 95th | | | | |
| | 56km/h – HIII 5th | | | | |
| | 35km/h – HIII 5th | | | | |
| | 35km/h – HIII 50th | | | | |
| | 56km/h – HIII 95th | | | | |",euroncap,Euro NCAP,Euro_NCAP,euro_ncap_protocol_crash_protection_frontal_impact_v11_9659fff24e.pdf,,,,,Table (p.5),False,0e019b82-9253-466c-a425-83643b6d3b0c
"Table
| Test | ATD |
|---|---|
| MPDB & FWDB | THOR 50th percentile - CP 106
Hybrid III 5th percentile - CP 103
Q6 and Q10 child - CP 009 |
| Virtual testing | Hybrid III 5th percentile - CP 103
Hybrid III 50th percentile - CP 104
Hybrid III 95th percentile - CP 105 |",euroncap,Euro NCAP,Euro_NCAP,euro_ncap_protocol_crash_protection_frontal_impact_v11_9659fff24e.pdf,,,,,Table (p.6),False,c2e71a7c-ed9e-43e2-a3fb-6ec4b097b89f
"Article 1.3.1 > Clause 1.3.1 — MPDB
The Mobile Progressive Deformable Barrier (MPDB) includes both a barrier face and a trolley. The MPDB shall conform to the specifications of Technical Bulletin CP 101.",euroncap,Euro NCAP,Euro_NCAP,euro_ncap_protocol_crash_protection_frontal_impact_v11_9659fff24e.pdf,,,1.3.1,Article 1.3.1 > Clause 1.3.1 — MPDB,MPDB,False,b66ff3c4-bbce-4bed-aa1b-acdee9cd830e
"Article 1.3.2 > Clause 1.3.2 — Full width test
The wall shall be fitted with the Full Width Deformable Barrier Face (FWDB) conforming to the specifications of Technical Bulletin CP 102. The barrier shall consist of a block of reinforced concrete not less than 3m wide in front and not less than 1.5m high. The barrier shall be of such thickness that it weighs at least 70 metric tons. The front face shall be flat, vertical and perpendicular to the axis of the run-up track. It may be covered with plywood boards 20mm ± 2mm thick to prevent damage to the mounting face. When used, the plywood shall be in good condition. The barrier face shall be mounted with the lower edge of the honeycomb 80mm ± 5mm above ground level. The lower edge of the barrier face may be approximated with a straight edge to facilitate the height measurement. It is important to ensure that all vehicle structures impact the barrier face and not the surrounding wall. Euro NCAP Version 1.1 — September 2025 3 Measurements and variables",euroncap,Euro NCAP,Euro_NCAP,euro_ncap_protocol_crash_protection_frontal_impact_v11_9659fff24e.pdf,,,1.3.2,Article 1.3.2 > Clause 1.3.2 — Full width test,Full width test,False,9c550429-74b3-4b82-8286-8823be49b90b
"Article 1.3.2 > Clause 1.3.2 — Full width test
Table
| Location | Parameter | CAC |
|---|---|---|
| B-Pillar - LHS & RHS | Acceleration, A
x | 150g |
| D ive ’s se tbelt shoulde section | Force, F
diagonal | 16kN |
| Row 1 p ssenge ’s se tbelt shoulde section | Force, F
diagonal | 16kN |
| Row 2 p ssenge ’s se tbelt shoulde section | Force, F
diagonal | 16kN |
| Q10 seatbelt shoulder section (B3) | Force, F
diagonal | 16kN |
| Q6 seatbelt shoulder section (B3) | Force, F
diagonal | 16kN |
| Low voltage battery - including secondary
batteries | Supply voltage, V
low | 60V |
| High voltage battery | Propulsion voltage, V
high | 1000V |",euroncap,Euro NCAP,Euro_NCAP,euro_ncap_protocol_crash_protection_frontal_impact_v11_9659fff24e.pdf,,,1.3.2,Article 1.3.2 > Clause 1.3.2 — Full width test,Table (p.7),False,caefb911-581f-464f-b14d-8f0c053d5216
"Article 1.3.2 > Clause 1.3.2 — Full width test
Table
| Location | Parameter | CAC |
|---|---|---|
| Trolley C of G | Acceleration, A A A
x y z | 150g |
| Trolley C of G, backup sensor | Acceleration, A A A
x y z | 150g |",euroncap,Euro NCAP,Euro_NCAP,euro_ncap_protocol_crash_protection_frontal_impact_v11_9659fff24e.pdf,,,1.3.2,Article 1.3.2 > Clause 1.3.2 — Full width test,Table (p.7),False,6a71743f-c49f-4f3a-8486-52d1a64ac5cb
"Article 1.4.1 > Clause 1.4.1 — Instrumentation general
All instrumentation used in the test shall be (re-)calibrated within at least one year before each test and should be re-calibrated if it reaches its Channel Amplitude Class (CAC) during any test. The measurement data shall be recorded according to ISO 6487 or SAE J211/1 (2022) at a minimum sample frequency of 20kHz. For sled and virtual testing, data shall be provided to Euro NCAP with a sample frequency of 10kHz.",euroncap,Euro NCAP,Euro_NCAP,euro_ncap_protocol_crash_protection_frontal_impact_v11_9659fff24e.pdf,,,1.4.1,Article 1.4.1 > Clause 1.4.1 — Instrumentation general,Instrumentation general,False,e82a0fe7-60d9-4150-84f7-638938f92984
"Article 1.4.2 > Clause 1.4.2 — VUT instrumentation
Location Parameter CAC B-Pillar - LHS & RHS Acceleration, A x 150g D ive ’s se tbelt shoulde section Force, F diagonal 16kN Row 1 p ssenge ’s se tbelt shoulde section Force, F diagonal 16kN Row 2 p ssenge ’s se tbelt shoulde section Force, F diagonal 16kN Q10 seatbelt shoulder section (B3) Force, F diagonal 16kN Q6 seatbelt shoulder section (B3) Force, F diagonal 16kN Low voltage battery - including secondary batteries Supply voltage, V low 60V High voltage battery Propulsion voltage, V high 1000V B-pillar accelerometers are to be fitted to a tolerance of ±1 degree and parallel to the X-axis of the vehicle. Seatbelt loadcells shall weigh <100g and be calibrated in accordance with the procedure in ISO/TS 7242:2014. Where the fitment of the shoulder belt loadcell significantly influences the natural position of the belt, the loadcell may be supported from above with the use of a weak non-metallic wire or thread. Where loadcells are to be placed on any seatbelts equipped with pretensioners, ensure that the loadcell is placed far enough away from the D-loop to ensure there is no interaction as the pretensioner fires. Where any CRS does not allow the loadcell to be placed a sufficient distance from the D-loop do not attach the loadcell.",seatbelt,Euro NCAP,Euro_NCAP,euro_ncap_protocol_crash_protection_frontal_impact_v11_9659fff24e.pdf,,,1.4.2,Article 1.4.2 > Clause 1.4.2 — VUT instrumentation,VUT instrumentation,False,1182e66d-8941-4ce1-ae10-57e06bc9e9f3
"Article 1.4.3 > Clause 1.4.3 — MPDB trolley instrumentation
Location Parameter CAC Trolley C of G Acceleration, A x A y A z 150g Trolley C of G, backup sensor Acceleration, A x A y A z 150g Euro NCAP Version 1.1 — September 2025 4",euroncap,Euro NCAP,Euro_NCAP,euro_ncap_protocol_crash_protection_frontal_impact_v11_9659fff24e.pdf,,,1.4.3,Article 1.4.3 > Clause 1.4.3 — MPDB trolley instrumentation,MPDB trolley instrumentation,False,35850650-5a08-4745-bca8-b12ff99781d6
